Pages,Android,iOS,English
page_error,,,
,error,,Error
,error_default,,"Please try again, and if it continues, please report the problem for better service. (%d)"
,error_incorrect_phone_number,,You entered an incorrect phone number.
,error_number_not_verified,,Number not verified
,error_unexpected,,Unexpected error
,error_invalidate_code,,You entered an invalid 6-digit-code
,error_too_many_request,,Too Many Requests
,error_too_many_request_message,,You requested 6-digit code too many times in a specific timing. Please start over the process in a couple of minutes
,error_artist_already_exists_on_your_list,,This artist is already on your list!
,error_song_already_exists_on_your_list,,This song is already on your list!
,error_cannot_change_your_city,,You cannot change your city more than once every 30 days.
,error_failed_to_load_the_profile,,Failed to Load the Profile
,error_this_app_does_not_have_access_to_your_photos,,This app does not have access\n to your photos
,error_cannot_load_markers,,We couldn’t locate other fans! Please try again.
,error_cannot_find_my_location,,Tap the GPS button for us to locate you!
,error_cannot_check_in,,We couldn’t check you in! Please try again.
verification,,,
,app_name,,MMT Play
,app_logo,,P\u0020I\u0020T\u0020A
,title_home,,Home
,title_dashboard,,Dashboard
,title_notifications,,Notifications
,enter_your_phone_number,,Enter your phone number
,enter_phone_number,,Enter phone number
,terms_and_condition,,"<![CDATA[By Signing in, You agree to the <u>Terms & Conditions</u> of MyMusicTaste.]]>"
,select_country,,Select Country
,sign_up_or_retry,,play is an application for verified MMT users now. please sign up first or verify your phone number please!
,sign_up,,Sign Up
,edit,,<u>Edit</u>
,sent_code,,We have sent you a 6-digit code.
,enter_code,,Enter 6-digit code
,retry,,<u>retry</u>
,retry_pure,,Retry
,url_terms_and_conditions,,<![CDATA[https://www.mymusictaste.com/terms/]]>
test1,,,
,profile,,Profile
,change_photo,,<u>Change Photo</u>
test2,,,
,save,,Save
,name,,Name
,my_city,,My City
,current_status,,Current status
,transition_edit_name,,transition_edit_name
,transition_edit_bio,,transition_edit_bio
,transition_edit_city,,transition_edit_city
,user_name,,Username
,edit_name_max_length,,/15
,edit_status_max_length,,/60
,find_my_city,,Find my city
,manage_my_songs,,Manage My Songs
,manage_my_artists,,Manage My Artists
,set_a_profile_photo,,Set a Profile Photo
,take_photo,,Take Photo
,select_image,,Select image
,gallery,,Gallery
,edit_profile,,Edit Profile
,my_artists,,My Artists
,search_an_artist,,Search an artist
,search_a_song,,Search a song
,add_artist,,Add Artist
,add_song,,Add Song
,find_your_city,,Find your city
,my_song,,My Song
,leaderboard,,Leaderboard
,question_about_edit_city,,Are you sure of your city? You can’t change it for the next 30 days.
,question_about_has_not_selected_city,,You won’t receive campaign benefits if you don’t select your city! Are you sure you want to leave? :(
,sure,,"Yes, I\'m sure"
,stay,,Stay
,leave,,Leave
test3,,,
,settings,,Settings
,change_country_to_browse_more_music,,<u>Change country to browse more music</u>
,not_sure,,"No, I’m not"
,campaigns,,Campaigns
,you_can_enable_access_in_privacy_settings,,You can enable access in Privacy Settings
,notification,,Notification
,copyright,,Copyright
,faq,,FAQ
,terms_of_use,,Terms Of Use
,logout,,Log out
,has_not_access_to_your_location,,This app does not have access to your location
,go_settings,,<u>Go settings</u>
,turn_on_gps,,Turn GPS On
,taste_makers_map,,TasteMakers Map
,check_in_description,,This map shows the whereabouts of fans like you. Check in to add yours!
,check_in,,Check in
,error_failed_to_load_tastemakers_map,,Failed to load TasteMakers Map
,check_in_time_remaining,,%s left until you can check in again
,recent,,RECENT
,nearby,,NEARBY
,make_points,,Make Points
,view_leaderboard,,View Leaderboard
,try_again,,Try again
,oops,,Oops!
,something_went_wrong,,Something went wrong...
,empty_campaign_desc,,You have no campaigns on MyMusicTaste. MAKE for your first campaign.
,start_making,,START MAKING
,congratulations,,Congratulations!
,transitioned_campaign_desc,,%1$s\n%2$s\n\nis happening!
,check_it_out,,Check it out!