Pages,Android,English,full script
page_error,,,=<string name=>=</string>
,error,Error,"=<string name=""error"">error</string>"
,error_default,"Please try again, and if it continues, please report the problem for better service. (%d)","=<string name=""error_default"">error_default</string>"
,error_incorrect_phone_number,You entered an incorrect phone number.,"=<string name=""error_incorrect_phone_number"">error_incorrect_phone_number</string>"
,error_number_not_verified,Number not verified,"=<string name=""error_number_not_verified"">error_number_not_verified</string>"
,error_unexpected,Unexpected error,"=<string name=""error_unexpected"">error_unexpected</string>"
,error_invalidate_code,You entered an invalid 6-digit-code,"=<string name=""error_invalidate_code"">error_invalidate_code</string>"
,error_too_many_request,Too Many Requests,"=<string name=""error_too_many_request"">error_too_many_request</string>"
,error_too_many_request_message,You requested 6-digit code too many times in a specific timing. Please start over the process in a couple of minutes,"=<string name=""error_too_many_request_message"">error_too_many_request_message</string>"
,error_artist_already_exists_on_your_list,This artist is already on your list!,"=<string name=""error_artist_already_exists_on_your_list"">error_artist_already_exists_on_your_list</string>"
,error_song_already_exists_on_your_list,This song is already on your list!,"=<string name=""error_song_already_exists_on_your_list"">error_song_already_exists_on_your_list</string>"
,error_cannot_change_your_city,You cannot change your city more than once every 30 days.,"=<string name=""error_cannot_change_your_city"">error_cannot_change_your_city</string>"
,error_failed_to_load_the_profile,Failed to Load the Profile,"=<string name=""error_failed_to_load_the_profile"">error_failed_to_load_the_profile</string>"
,error_this_app_does_not_have_access_to_your_photos,This app does not have access\n to your photos,"=<string name=""error_this_app_does_not_have_access_to_your_photos"">error_this_app_does_not_have_access_to_your_photos</string>"
,error_cannot_load_markers,We couldnÍt locate other fans! Please try again.,"=<string name=""error_cannot_load_markers"">error_cannot_load_markers</string>"
,error_cannot_find_my_location,Tap the GPS button for us to locate you!,"=<string name=""error_cannot_find_my_location"">error_cannot_find_my_location</string>"
,error_cannot_check_in,We couldnÍt check you in! Please try again.,"=<string name=""error_cannot_check_in"">error_cannot_check_in</string>"
verification,,,"=<string name=""""></string>"
,app_name,MMT Play,"=<string name=""app_name"">app_name</string>"
,app_logo,P\u0020I\u0020T\u0020A,"=<string name=""app_logo"">app_logo</string>"
,title_home,Home,"=<string name=""title_home"">title_home</string>"
,title_dashboard,Dashboard,"=<string name=""title_dashboard"">title_dashboard</string>"
,title_notifications,Notifications,"=<string name=""title_notifications"">title_notifications</string>"
,enter_your_phone_number,Enter your phone number,"=<string name=""enter_your_phone_number"">enter_your_phone_number</string>"
,enter_phone_number,Enter phone number,"=<string name=""enter_phone_number"">enter_phone_number</string>"
,terms_and_condition,"<![CDATA[By Signing in, You agree to the <u>Terms & Conditions</u> of MyMusicTaste.]]>","=<string name=""terms_and_condition"">terms_and_condition</string>"
,select_country,Select Country,"=<string name=""select_country"">select_country</string>"
,sign_up_or_retry,play is an application for verified MMT users now. please sign up first or verify your phone number please!,"=<string name=""sign_up_or_retry"">sign_up_or_retry</string>"
,sign_up,Sign Up,"=<string name=""sign_up"">sign_up</string>"
,edit,<u>Edit</u>,"=<string name=""edit"">edit</string>"
,sent_code,We have sent you a 6-digit code.,"=<string name=""sent_code"">sent_code</string>"
,enter_code,Enter 6-digit code,"=<string name=""enter_code"">enter_code</string>"
,retry,<u>retry</u>,"=<string name=""retry"">retry</string>"
,retry_pure,Retry,"=<string name=""retry_pure"">retry_pure</string>"
,url_terms_and_conditions,<![CDATA[https://www.mymusictaste.com/terms/]]>,"=<string name=""url_terms_and_conditions"">url_terms_and_conditions</string>"
test1,,,"=<string name=""""></string>"
,profile,Profile,"=<string name=""profile"">profile</string>"
,change_photo,<u>Change Photo</u>,"=<string name=""change_photo"">change_photo</string>"
test2,,,"=<string name=""""></string>"
,save,Save,"=<string name=""save"">save</string>"
,name,Name,"=<string name=""name"">name</string>"
,my_city,My City,"=<string name=""my_city"">my_city</string>"
,current_status,Current status,"=<string name=""current_status"">current_status</string>"
,transition_edit_name,transition_edit_name,"=<string name=""transition_edit_name"">transition_edit_name</string>"
,transition_edit_bio,transition_edit_bio,"=<string name=""transition_edit_bio"">transition_edit_bio</string>"
,transition_edit_city,transition_edit_city,"=<string name=""transition_edit_city"">transition_edit_city</string>"
,user_name,Username,"=<string name=""user_name"">user_name</string>"
,edit_name_max_length,/15,"=<string name=""edit_name_max_length"">edit_name_max_length</string>"
,edit_status_max_length,/60,"=<string name=""edit_status_max_length"">edit_status_max_length</string>"
,find_my_city,Find my city,"=<string name=""find_my_city"">find_my_city</string>"
,manage_my_songs,Manage My Songs,"=<string name=""manage_my_songs"">manage_my_songs</string>"
,manage_my_artists,Manage My Artists,"=<string name=""manage_my_artists"">manage_my_artists</string>"
,set_a_profile_photo,Set a Profile Photo,"=<string name=""set_a_profile_photo"">set_a_profile_photo</string>"
,take_photo,Take Photo,"=<string name=""take_photo"">take_photo</string>"
,select_image,Select image,"=<string name=""select_image"">select_image</string>"
,gallery,Gallery,"=<string name=""gallery"">gallery</string>"
,edit_profile,Edit Profile,"=<string name=""edit_profile"">edit_profile</string>"
,my_artists,My Artists,"=<string name=""my_artists"">my_artists</string>"
,search_an_artist,Search an artist,"=<string name=""search_an_artist"">search_an_artist</string>"
,search_a_song,Search a song,"=<string name=""search_a_song"">search_a_song</string>"
,add_artist,Add Artist,"=<string name=""add_artist"">add_artist</string>"
,add_song,Add Song,"=<string name=""add_song"">add_song</string>"
,find_your_city,Find your city,"=<string name=""find_your_city"">find_your_city</string>"
,my_song,My Song,"=<string name=""my_song"">my_song</string>"
,leaderboard,Leaderboard,"=<string name=""leaderboard"">leaderboard</string>"
,question_about_edit_city,Are you sure of your city? You canÍt change it for the next 30 days.,"=<string name=""question_about_edit_city"">question_about_edit_city</string>"
,question_about_has_not_selected_city,You wonÍt receive campaign benefits if you donÍt select your city! Are you sure you want to leave? :(,"=<string name=""question_about_has_not_selected_city"">question_about_has_not_selected_city</string>"
,sure,"Yes, I\'m sure","=<string name=""sure"">sure</string>"
,stay,Stay,"=<string name=""stay"">stay</string>"
,leave,Leave,"=<string name=""leave"">leave</string>"
test3,,,"=<string name=""""></string>"
,settings,Settings,"=<string name=""settings"">settings</string>"
,change_country_to_browse_more_music,<u>Change country to browse more music</u>,"=<string name=""change_country_to_browse_more_music"">change_country_to_browse_more_music</string>"
,not_sure,"No, IÍm not","=<string name=""not_sure"">not_sure</string>"
,campaigns,Campaigns,"=<string name=""campaigns"">campaigns</string>"
,you_can_enable_access_in_privacy_settings,You can enable access in Privacy Settings,"=<string name=""you_can_enable_access_in_privacy_settings"">you_can_enable_access_in_privacy_settings</string>"
,notification,Notification,"=<string name=""notification"">notification</string>"
,copyright,Copyright,"=<string name=""copyright"">copyright</string>"
,faq,FAQ,"=<string name=""faq"">faq</string>"
,terms_of_use,Terms Of Use,"=<string name=""terms_of_use"">terms_of_use</string>"
,logout,Log out,"=<string name=""logout"">logout</string>"
,has_not_access_to_your_location,This app does not have access to your location,"=<string name=""has_not_access_to_your_location"">has_not_access_to_your_location</string>"
,go_settings,<u>Go settings</u>,"=<string name=""go_settings"">go_settings</string>"
,turn_on_gps,Turn GPS On,"=<string name=""turn_on_gps"">turn_on_gps</string>"
,taste_makers_map,TasteMakers Map,"=<string name=""taste_makers_map"">taste_makers_map</string>"
,check_in_description,This map shows the whereabouts of fans like you. Check in to add yours!,"=<string name=""check_in_description"">check_in_description</string>"
,check_in,Check in,"=<string name=""check_in"">check_in</string>"
,error_failed_to_load_tastemakers_map,Failed to load TasteMakers Map,"=<string name=""error_failed_to_load_tastemakers_map"">error_failed_to_load_tastemakers_map</string>"
,check_in_time_remaining,%s left until you can check in again,"=<string name=""check_in_time_remaining"">check_in_time_remaining</string>"
,recent,RECENT,"=<string name=""recent"">recent</string>"
,nearby,NEARBY,"=<string name=""nearby"">nearby</string>"
,make_points,Make Points,"=<string name=""make_points"">make_points</string>"
,view_leaderboard,View Leaderboard,"=<string name=""view_leaderboard"">view_leaderboard</string>"
,try_again,Try again,"=<string name=""try_again"">try_again</string>"
,oops,Oops!,"=<string name=""oops"">oops</string>"
,something_went_wrong,Something went wrong...,"=<string name=""something_went_wrong"">something_went_wrong</string>"
,empty_campaign_desc,You have no campaigns on MyMusicTaste. MAKE for your first campaign.,"=<string name=""empty_campaign_desc"">empty_campaign_desc</string>"
,start_making,START MAKING,"=<string name=""start_making"">start_making</string>"
,congratulations,Congratulations!,"=<string name=""congratulations"">congratulations</string>"
,transitioned_campaign_desc,%1$s\n%2$s\n\nis happening!,"=<string name=""transitioned_campaign_desc"">transitioned_campaign_desc</string>"
,check_it_out,Check it out!,"=<string name=""check_it_out"">check_it_out</string>"